time_s0,RF_swing_s0,time_s1,RF_swing_s1,time_s2,RF_swing_s2,time_s3,RF_swing_s3,time_s4,RF_swing_s4,time_s5,RF_swing_s5,time_s6,RF_swing_s6,time_s7,RF_swing_s7,time_s8,RF_swing_s8,time_s9,RF_swing_s9,time_s10,RF_swing_s10,time_s11,RF_swing_s11,time_s12,RF_swing_s12,time_s13,RF_swing_s13,time_s14,RF_swing_s14,time_s15,RF_swing_s15
129.3167,0.4567,124.52,0.38,123.26,0.4,115.65,0.3867,118.1067,0.3733,121.2567,0.4,122.5167,0.4067,116.4767,0.3333,125.1967,0.42,152.1967,0.52,120.7833,0.34,113.67,0.3567,119.7233,0.3833,116.4133,0.39,118.0133,0.39,112.5667,0.3667
130.4033,0.43,125.5733,0.38,124.32,0.3867,116.71,0.38,119.1433,0.3933,122.3267,0.3967,123.6467,0.38,117.5367,0.3267,126.3633,0.41,153.5833,0.4933,121.8867,0.3433,114.6667,0.3667,120.7833,0.39,117.4467,0.3767,119.06,0.3767,113.54,0.36
131.5267,0.4133,126.65,0.3567,125.39,0.38,117.72,0.37,120.2233,0.3733,123.3933,0.4,124.7333,0.37,118.5567,0.3133,127.57,0.47,155.1333,0.5433,122.9367,0.32,115.67,0.3667,121.8267,0.3967,118.4867,0.39,120.12,0.3833,114.5233,0.3533
132.64,0.42,127.7667,0.4267,126.47,0.38,118.7733,0.38,121.2667,0.38,124.4767,0.3867,125.82,0.3767,119.6067,0.31,128.69,0.4,156.8367,0.6267,123.9433,0.3067,116.6867,0.3567,122.8667,0.39,119.53,0.3933,121.1867,0.38,115.51,0.37
133.7833,0.4167,128.8433,0.37,127.5567,0.37,119.83,0.3867,122.34,0.39,125.5633,0.3967,126.9433,0.4,120.6567,0.3,129.82,0.41,158.3433,0.51,125.11,0.3633,117.69,0.3467,123.9267,0.38,120.5567,0.3833,122.2433,0.39,116.5267,0.37
134.8967,0.43,129.92,0.3767,128.65,0.39,120.8433,0.3567,123.45,0.36,126.69,0.4067,128.11,0.4333,121.6533,0.3067,130.9233,0.4267,159.8367,0.53,126.2067,0.34,118.6767,0.35,124.9633,0.3867,121.6033,0.39,123.3367,0.3867,117.5567,0.3733
136.03,0.42,131.02,0.3967,129.73,0.3867,121.8967,0.38,124.53,0.3567,127.8033,0.4033,129.2633,0.42,122.65,0.31,132.0467,0.41,161.2867,0.5267,127.3367,0.3267,119.6867,0.36,126.01,0.3867,122.63,0.38,124.43,0.4,118.55,0.3633
137.1533,0.4233,132.2233,0.4067,130.8267,0.3867,122.92,0.38,125.6033,0.39,128.91,0.3833,130.3067,0.2567,123.6833,0.3133,133.1367,0.4133,162.8,0.5533,128.4533,0.34,120.7833,0.3967,127.07,0.3867,123.68,0.3833,125.6367,0.4,119.5667,0.3767
138.2733,0.4167,133.5567,0.5167,131.8967,0.3767,123.9467,0.3633,126.6733,0.3367,130.0533,0.4067,131.5767,0.4867,124.7233,0.3333,134.2633,0.4167,164.2167,0.5133,129.54,0.3333,121.9833,0.39,128.1167,0.4033,124.6967,0.3767,126.9067,0.4967,120.61,0.37
139.4067,0.3967,134.7267,0.4433,132.9933,0.3933,125.01,0.3933,127.79,0.42,131.19,0.3967,132.7,0.3967,125.81,0.3233,135.4333,0.4167,165.6033,0.4867,130.67,0.3533,123.1033,0.4067,129.17,0.38,125.6967,0.38,128.0533,0.42,121.6933,0.3767
140.5233,0.4133,135.92,0.44,134.1233,0.4,126.04,0.38,128.87,0.3633,132.4267,0.35,133.77,0.39,126.8733,0.3367,136.57,0.42,167.01,0.49,131.78,0.3533,124.1567,0.38,130.2167,0.3933,126.72,0.3867,129.1567,0.3967,123.0367,0.4967
141.6333,0.4267,137.0833,0.4033,135.1733,0.38,127.1267,0.41,129.9933,0.3833,133.7433,0.51,134.8633,0.41,127.91,0.3233,137.7467,0.4367,168.4233,0.5,132.8833,0.33,125.1633,0.3567,131.2567,0.3733,127.7467,0.3867,130.2233,0.38,124.19,0.4267
142.7533,0.4167,138.25,0.4167,136.2467,0.3867,128.1933,0.3933,131.1433,0.41,134.9467,0.4367,135.92,0.4067,128.9433,0.3133,138.89,0.4067,169.85,0.5233,133.98,0.3467,126.16,0.3533,132.3067,0.3833,128.7767,0.3767,131.3033,0.4,125.21,0.3633
143.86,0.4233,139.4,0.4267,137.3233,0.3833,129.2233,0.3767,132.3033,0.4133,136.09,0.4033,136.9933,0.4167,130.0033,0.3567,140.0767,0.4267,171.2867,0.5233,135.04,0.35,127.1667,0.3633,133.3467,0.3833,129.8233,0.38,132.3567,0.3767,126.23,0.35
144.98,0.41,140.5167,0.41,138.4767,0.3867,130.25,0.38,133.4467,0.37,137.2467,0.41,138.0233,0.39,131.0633,0.3233,141.1933,0.43,172.6767,0.5033,136.12,0.3267,128.1633,0.3567,134.4133,0.3967,130.84,0.3867,133.45,0.3933,127.26,0.3533
146.1367,0.44,141.6567,0.4033,139.53,0.38,131.3,0.3567,134.4533,0.3133,138.38,0.4,139.08,0.4133,132.1133,0.3333,142.1967,0.15,174.09,0.53,137.2167,0.3533,129.1333,0.34,135.4533,0.3833,131.8567,0.3667,134.51,0.4,128.2967,0.3733
147.28,0.4433,142.7433,0.39,140.63,0.39,132.35,0.38,135.66,0.4367,139.4633,0.4033,140.18,0.4033,133.1533,0.3367,143.4967,0.4467,175.49,0.51,138.29,0.34,130.1033,0.35,136.5267,0.3933,132.87,0.3733,135.5833,0.4067,129.2833,0.3633
148.42,0.4367,143.8967,0.42,141.7033,0.3833,133.39,0.37,136.8033,0.41,140.59,0.4033,141.24,0.3967,134.15,0.3133,144.76,0.4667,176.9467,0.54,139.3833,0.3333,131.0967,0.3533,137.58,0.39,133.92,0.3867,136.6567,0.3933,130.26,0.3567
149.53,0.42,145.0167,0.37,142.7967,0.4,134.4333,0.36,137.97,0.4133,141.6733,0.4,142.3433,0.44,135.1367,0.3067,145.9667,0.44,178.32,0.4933,140.4733,0.34,132.08,0.36,138.6333,0.3867,134.9533,0.38,137.72,0.3833,131.26,0.3633
150.67,0.42,146.11,0.3833,143.89,0.3967,135.4867,0.3633,139.1033,0.3667,142.7733,0.39,143.3967,0.3867,136.1467,0.3033,147.1033,0.4067,179.6467,0.4933,141.54,0.34,133.0833,0.3633,139.6933,0.3933,135.9933,0.39,138.7967,0.38,132.2667,0.3733
151.7867,0.4233,147.2367,0.4,144.97,0.3867,136.5,0.3967,140.2567,0.41,143.8933,0.41,144.49,0.4267,137.16,0.3167,148.2667,0.4333,180.9867,0.4767,142.6133,0.3333,134.0833,0.35,140.7533,0.3833,137.0467,0.3967,139.9067,0.4,133.28,0.35
152.9267,0.43,148.3433,0.3933,146.06,0.3933,137.53,0.38,141.3633,0.3833,145.0067,0.4,145.57,0.3767,138.18,0.3433,149.3967,0.4333,182.3433,0.4833,143.67,0.3367,135.1,0.3667,141.8,0.3767,138.0867,0.39,140.9633,0.3833,134.26,0.3667
154.05,0.4167,149.4167,0.3767,147.1467,0.39,138.5867,0.3767,142.4533,0.4067,146.0767,0.3767,146.6567,0.42,139.2,0.3333,150.5533,0.4267,183.69,0.4833,144.7633,0.3433,136.09,0.3467,142.8567,0.3833,139.1367,0.3833,142.0133,0.3867,135.25,0.3533
155.1833,0.4233,150.5733,0.4367,148.25,0.39,139.66,0.3933,143.5433,0.39,147.19,0.4167,147.7633,0.42,140.21,0.32,151.71,0.4233,185.0233,0.4533,145.8367,0.35,137.11,0.3467,143.9067,0.4,140.1633,0.38,143.0633,0.3833,136.2367,0.3667
156.3033,0.4167,151.71,0.4067,149.34,0.3967,140.7067,0.35,144.63,0.4,148.28,0.37,148.84,0.41,141.25,0.33,152.8333,0.41,186.4633,0.51,146.91,0.34,138.1267,0.3633,144.9933,0.41,141.21,0.3833,144.1367,0.3967,137.2333,0.3633
157.4467,0.4333,152.83,0.43,150.39,0.3733,141.77,0.36,145.7433,0.3867,149.3867,0.38,149.9167,0.3867,142.3033,0.3067,153.99,0.4133,187.86,0.5033,147.97,0.34,139.1233,0.3467,146.0533,0.4,142.2533,0.39,145.1967,0.3833,138.2433,0.3633
158.5433,0.4,153.9667,0.4133,151.4833,0.3833,142.82,0.37,146.85,0.4067,150.51,0.41,151.01,0.38,143.3567,0.2933,155.12,0.4033,189.2633,0.5133,149.01,0.33,140.13,0.35,147.1367,0.39,143.29,0.39,146.25,0.3733,139.2233,0.3433
159.67,0.41,155.12,0.42,152.5567,0.39,143.8733,0.3867,147.95,0.4,151.6333,0.4,152.1167,0.41,144.44,0.32,156.2233,0.41,190.6533,0.4933,150.07,0.3467,141.1333,0.34,148.19,0.3967,144.34,0.39,147.2933,0.38,140.1967,0.3567
160.7967,0.42,156.2767,0.38,153.6433,0.3967,144.9267,0.3633,149.0167,0.3733,152.71,0.4133,153.22,0.4267,145.4767,0.3333,157.3133,0.4,192.0233,0.5033,151.1333,0.3433,142.12,0.3533,149.2633,0.39,145.38,0.3867,148.3567,0.3867,141.18,0.3467
161.93,0.4333,157.4367,0.4267,154.7533,0.41,145.9767,0.3667,150.1,0.3967,153.84,0.3767,154.3033,0.3833,146.54,0.33,158.4367,0.4367,193.36,0.4933,152.2067,0.3367,143.1233,0.3467,150.3167,0.38,146.42,0.3833,149.4167,0.4067,142.1767,0.3667
163.04,0.4433,158.53,0.38,155.8467,0.3933,147.0733,0.3733,151.14,0.3867,154.9533,0.37,155.3733,0.3867,147.6067,0.3433,159.5733,0.4133,194.7033,0.49,153.27,0.34,144.1233,0.3567,151.3833,0.3867,147.4467,0.3867,150.4867,0.3867,143.15,0.3467
164.1967,0.43,159.69,0.4233,156.9433,0.3867,148.1267,0.35,152.1733,0.3567,156.0833,0.3733,156.45,0.4133,148.6733,0.34,160.7233,0.4333,196.0467,0.4833,154.3333,0.35,145.1433,0.3533,152.43,0.3933,148.4767,0.3767,151.56,0.3967,144.1533,0.37
165.34,0.45,160.7967,0.4067,158.0167,0.3867,149.2933,0.34,153.2433,0.3533,157.1433,0.3667,157.5333,0.3933,149.7,0.3167,161.8567,0.4133,197.3933,0.4967,155.4133,0.3267,146.1867,0.37,153.4833,0.39,149.5367,0.3933,152.6333,0.38,145.13,0.3667
166.4567,0.4333,161.9133,0.39,159.1,0.3867,150.3933,0.3867,154.3133,0.35,158.2167,0.3567,158.61,0.4,150.7333,0.31,162.97,0.42,198.7367,0.4867,156.4833,0.3467,147.18,0.3567,154.5467,0.3867,150.5933,0.38,153.6833,0.3833,146.12,0.3633
167.5633,0.4133,163.0233,0.3967,160.1933,0.3967,151.4233,0.3533,155.35,0.3967,159.31,0.4033,159.71,0.4167,151.79,0.3267,164.0767,0.41,200.0767,0.4767,157.53,0.3367,148.1567,0.35,155.61,0.3867,151.6267,0.3833,154.7267,0.3833,147.12,0.3633
168.69,0.4467,164.1333,0.4033,161.28,0.38,152.45,0.3633,156.41,0.3467,160.39,0.39,160.7833,0.3867,152.7933,0.2967,165.2167,0.4133,201.3933,0.4767,158.61,0.3467,149.16,0.36,156.67,0.3833,152.6733,0.38,155.7933,0.3933,148.0967,0.3567
169.81,0.42,165.2033,0.4033,162.37,0.3867,153.5133,0.38,157.47,0.39,161.5167,0.4067,161.8867,0.3833,153.8233,0.3233,166.3867,0.4233,202.7433,0.4867,159.67,0.34,150.1733,0.36,157.7533,0.3967,153.7133,0.3933,156.8433,0.3933,149.0967,0.3633
170.9167,0.4133,166.27,0.4067,163.47,0.3867,154.57,0.35,158.5433,0.39,162.6167,0.4033,162.93,0.3967,154.8433,0.31,167.5133,0.43,204.0633,0.4967,160.78,0.3567,151.1633,0.3533,158.83,0.39,154.7533,0.38,157.8767,0.38,150.0833,0.37
172.0233,0.4067,167.3433,0.3733,164.57,0.39,155.59,0.3567,159.6367,0.4033,163.6967,0.37,164.0533,0.3967,155.8733,0.3133,168.6367,0.4133,205.4167,0.4867,161.88,0.34,152.1567,0.3533,159.9,0.3867,155.7967,0.39,158.9,0.38,151.0767,0.3567
173.1567,0.4267,168.44,0.4,165.7167,0.4,156.5767,0.37,160.6633,0.3367,164.78,0.4,165.15,0.42,156.91,0.3167,169.76,0.4267,206.7633,0.4867,162.9633,0.3433,153.17,0.36,160.9867,0.3967,156.8467,0.3933,159.9533,0.3767,152.0467,0.3567
174.3167,0.4233,169.5533,0.4067,166.8267,0.4,157.61,0.3867,161.72,0.38,165.8667,0.4,166.2567,0.3933,157.9367,0.3233,170.8733,0.4133,208.1033,0.5033,164.0433,0.35,154.18,0.35,162.0467,0.3933,157.8933,0.3833,161.0033,0.3933,153.0233,0.3567
175.4233,0.4167,170.65,0.4033,167.93,0.3933,158.64,0.37,162.76,0.3767,166.9367,0.3867,167.34,0.4367,158.9767,0.3233,172.02,0.42,209.4367,0.5,165.15,0.3533,155.1767,0.3733,163.1233,0.3933,158.9233,0.3667,162.04,0.3867,154.0,0.3633
176.53,0.4267,171.73,0.39,169.12,0.4067,159.6867,0.3667,163.8167,0.37,168.0067,0.3867,168.4167,0.39,159.9833,0.3167,173.1633,0.4033,210.7733,0.4733,166.23,0.3467,156.1767,0.35,164.1967,0.4,159.9467,0.38,163.1,0.38,155.0067,0.36
177.65,0.4033,172.82,0.4033,170.3333,0.42,160.76,0.3867,164.8967,0.3767,169.1167,0.4167,169.4833,0.4033,161.0067,0.3167,174.2667,0.41,212.1233,0.5033,167.3033,0.3433,157.1633,0.3667,165.32,0.4067,161.0,0.3767,164.13,0.3767,155.9833,0.3667
178.8367,0.4467,173.9467,0.3967,171.5167,0.4433,161.81,0.37,165.95,0.3933,170.2067,0.4067,170.5933,0.4267,162.0167,0.3033,175.37,0.4067,213.47,0.51,168.39,0.3433,158.2133,0.38,166.5467,0.45,162.03,0.3767,165.1633,0.3767,156.9833,0.36
179.99,0.45,175.0633,0.4067,173.0433,0.5867,162.8533,0.3767,167.0367,0.3933,171.31,0.41,171.69,0.41,163.0267,0.3033,176.4967,0.4167,214.8,0.4867,169.4733,0.3467,159.2,0.37,167.7433,0.46,163.07,0.3867,166.1767,0.39,157.9533,0.36
181.4867,0.19,176.16,0.39,174.1267,0.38,163.8667,0.3767,168.11,0.3933,172.46,0.4333,172.79,0.38,164.05,0.3067,177.5933,0.4033,216.13,0.4833,170.5433,0.3467,160.2333,0.36,168.8533,0.4133,164.1067,0.39,167.2367,0.38,158.93,0.3467
182.6767,0.4433,177.25,0.3967,175.2033,0.38,164.8967,0.37,169.1667,0.3833,173.55,0.3767,173.9167,0.4367,165.0567,0.31,178.6767,0.41,217.4733,0.4933,171.6367,0.3467,161.25,0.3667,169.9267,0.4,165.19,0.3867,168.2867,0.39,159.9233,0.37
183.7867,0.44,178.3833,0.4133,176.3133,0.3867,165.9,0.3733,170.2067,0.39,174.6533,0.3867,174.9867,0.39,166.11,0.3133,179.8067,0.4267,218.8267,0.4867,172.7067,0.3333,162.24,0.3467,170.9967,0.3833,166.2033,0.3967,169.3433,0.3867,160.9067,0.3567
184.9133,0.4367,179.4433,0.36,177.4367,0.39,166.9233,0.35,171.2833,0.3833,175.77,0.4133,176.0967,0.38,167.1167,0.32,180.9267,0.41,220.1667,0.4933,173.7933,0.34,163.2433,0.3633,172.07,0.37,167.24,0.4,170.3767,0.3767,161.8867,0.36
186.04,0.43,180.5267,0.39,178.5533,0.3967,167.9567,0.3467,172.3667,0.4067,176.8233,0.3533,177.1867,0.3867,168.1633,0.32,182.01,0.4,221.53,0.4833,174.8767,0.36,164.2267,0.3467,173.1333,0.3867,168.2967,0.4,171.4367,0.3933,162.86,0.3633
187.2067,0.43,181.6767,0.4067,179.6433,0.38,168.9533,0.3567,173.41,0.3667,177.91,0.41,178.2767,0.4067,169.19,0.33,183.1633,0.41,222.9033,0.49,175.9667,0.36,165.2167,0.33,174.1833,0.3933,169.3367,0.3867,172.49,0.3933,163.8267,0.3633
188.3467,0.44,182.7633,0.39,180.7233,0.3867,169.9833,0.3733,174.47,0.3767,179.0067,0.3833,179.3767,0.4067,170.2,0.3167,184.2433,0.4,224.3367,0.49,177.05,0.33,166.22,0.3567,175.2433,0.3967,170.3633,0.3933,173.53,0.38,164.8033,0.3533
189.51,0.4433,183.8567,0.4,181.8067,0.3767,170.99,0.3633,175.5033,0.38,180.1233,0.4033,180.47,0.4167,171.2233,0.3267,185.4,0.42,226.1933,0.5867,178.1767,0.33,167.2067,0.3433,176.2867,0.37,171.4,0.39,174.6033,0.3833,165.7967,0.3667
190.6633,0.44,184.9167,0.36,182.9167,0.3933,172.0033,0.37,176.6033,0.39,181.21,0.4,181.6067,0.44,172.2667,0.3233,186.5167,0.4067,227.6433,0.5133,179.3367,0.3533,168.1833,0.34,177.35,0.3967,172.4533,0.39,175.67,0.3933,166.8033,0.3767
191.8233,0.4467,185.99,0.4067,184.03,0.38,173.0033,0.3567,177.6567,0.3767,182.29,0.39,182.7767,0.4367,173.2833,0.3067,187.64,0.4167,228.9967,0.49,180.4233,0.3267,169.17,0.35,178.4133,0.38,173.4767,0.3867,176.75,0.4033,167.79,0.36
193.0,0.4633,187.13,0.4133,185.1233,0.3933,174.0533,0.3633,178.71,0.3533,183.4067,0.3933,183.8767,0.41,174.32,0.3233,188.77,0.4133,230.3733,0.5,181.58,0.2833,170.1633,0.3433,179.45,0.3867,174.5167,0.3867,177.7833,0.38,168.77,0.3533
194.1567,0.4567,188.2867,0.4,186.2367,0.4,175.08,0.3667,179.78,0.3633,184.5233,0.4033,184.9667,0.4067,175.3767,0.3133,189.87,0.4067,231.76,0.49,182.7033,0.34,171.1633,0.35,180.5067,0.3833,175.5367,0.39,178.8067,0.3633,169.7233,0.34
195.3033,0.43,189.3633,0.39,187.3433,0.3867,176.0933,0.3467,180.8367,0.3833,185.65,0.4133,186.08,0.3767,176.4267,0.3167,190.99,0.4167,233.16,0.49,183.81,0.34,172.15,0.3733,181.57,0.3833,176.5833,0.3833,179.86,0.3833,170.7267,0.3567
196.46,0.4233,190.4367,0.41,188.45,0.3867,177.12,0.3767,181.88,0.3733,186.77,0.4,187.2533,0.4133,177.4633,0.33,192.1433,0.43,234.5767,0.51,184.92,0.3433,173.1367,0.3533,182.62,0.3733,177.6233,0.3567,180.9233,0.3867,171.72,0.3567
197.6267,0.46,191.4867,0.36,189.5467,0.3733,178.1367,0.3567,182.9367,0.39,187.8667,0.3833,188.4567,0.4,178.52,0.3267,193.2833,0.4033,235.9567,0.5033,186.05,0.35,174.13,0.32,183.6933,0.3967,178.6633,0.3833,181.9933,0.3967,172.7333,0.3633
198.76,0.4233,192.6167,0.41,190.6567,0.39,179.16,0.3533,183.9833,0.3467,188.9433,0.3933,189.67,0.4367,179.5567,0.34,194.4333,0.4233,237.2967,0.4833,187.1733,0.35,175.1533,0.36,184.7667,0.39,179.7,0.3833,183.0567,0.4033,173.7267,0.3533
199.88,0.43,193.75,0.4167,191.7533,0.4,180.18,0.35,185.0567,0.4,190.0367,0.3833,190.9667,0.2833,180.58,0.3333,195.5433,0.4167,238.6433,0.48,188.28,0.36,176.1833,0.3733,185.8433,0.39,180.75,0.3867,184.08,0.3667,174.72,0.3633
201.0367,0.43,194.8633,0.2667,192.8567,0.4,181.21,0.3667,186.1133,0.3467,191.1833,0.4067,192.12,0.4367,181.6267,0.2933,196.6367,0.3933,239.9867,0.48,189.39,0.3433,177.2767,0.3933,186.89,0.3933,181.7833,0.37,185.1467,0.36,175.7267,0.37
202.1567,0.4433,196.14,0.4633,193.95,0.4067,182.2467,0.3633,187.1633,0.3967,192.3233,0.3867,193.2267,0.3833,182.67,0.3433,197.7767,0.4167,241.3633,0.4867,190.4933,0.35,178.38,0.3833,187.9467,0.3867,182.8333,0.3867,186.21,0.37,176.7633,0.36
203.28,0.4333,197.3433,0.4567,195.07,0.3967,183.2867,0.3567,188.24,0.3833,193.5633,0.4233,194.3367,0.4133,183.73,0.3233,198.9033,0.4133,242.75,0.4967,191.58,0.3367,179.5267,0.4333,188.9967,0.3733,183.8567,0.38,187.37,0.4167,177.8133,0.3633
204.41,0.42,198.5433,0.4467,196.18,0.4,184.3267,0.38,189.3367,0.4033,195.3367,0.5333,195.4233,0.3967,184.7433,0.3267,200.0533,0.42,244.1,0.47,192.7033,0.3433,180.58,0.39,190.05,0.38,184.8833,0.3867,188.4867,0.39,178.93,0.34
205.55,0.4533,199.7333,0.4167,197.31,0.3833,185.3433,0.3667,190.43,0.3833,196.5633,0.44,196.5333,0.41,185.7967,0.3333,201.2133,0.45,245.47,0.4767,193.81,0.34,181.61,0.3667,191.12,0.3767,185.9233,0.3867,189.69,0.3967,180.04,0.4233
206.69,0.45,200.8967,0.43,198.37,0.3767,186.3233,0.36,191.53,0.3833,197.73,0.4133,197.6367,0.4133,186.87,0.34,202.38,0.4233,246.8067,0.4733,194.9,0.3567,182.63,0.3667,192.1833,0.39,186.9567,0.39,190.7867,0.3767,181.1033,0.3767
207.8233,0.4367,202.04,0.42,199.49,0.3967,187.34,0.3633,192.6033,0.3833,198.9033,0.4333,198.7067,0.36,187.9267,0.3367,203.5267,0.4433,248.19,0.4967,196.0,0.35,183.61,0.3533,193.26,0.39,188.0,0.39,191.81,0.39,182.1133,0.3567
208.99,0.4433,203.12,0.37,200.5767,0.37,188.36,0.3433,193.6667,0.39,200.0367,0.4067,199.77,0.3933,189.01,0.3267,204.7133,0.4467,249.5533,0.47,197.13,0.3567,184.6067,0.3333,194.3033,0.3767,189.0267,0.3933,192.8733,0.3967,183.14,0.3767
210.13,0.44,204.2433,0.42,201.6633,0.3833,189.38,0.3667,194.74,0.3633,201.21,0.3967,200.8367,0.3867,190.05,0.3333,205.9167,0.4267,250.91,0.4833,198.2167,0.3367,185.6233,0.3433,195.37,0.3967,190.0633,0.38,193.9267,0.3967,184.18,0.3567
211.3,0.4533,205.3433,0.4133,202.74,0.3933,190.4033,0.36,195.8833,0.39,202.31,0.3967,201.9067,0.39,191.1,0.3433,207.1333,0.43,252.2467,0.4967,199.3133,0.37,186.6267,0.3767,196.44,0.39,191.0867,0.38,195.0333,0.4133,185.21,0.3533
212.43,0.4567,206.42,0.4067,203.8267,0.3867,191.42,0.3567,197.04,0.38,203.4333,0.4033,202.98,0.3967,192.1467,0.3167,208.5333,0.34,253.61,0.4833,200.4167,0.36,187.63,0.3533,197.5067,0.3933,192.1267,0.3867,196.1133,0.4,186.23,0.3767
213.6067,0.44,207.51,0.3667,204.9267,0.39,192.4433,0.3767,198.4367,0.4867,204.53,0.4,204.11,0.4233,193.2133,0.32,209.7367,0.43,254.9733,0.4967,201.5067,0.3433,188.6267,0.3567,198.5567,0.37,193.16,0.3833,197.16,0.3733,187.23,0.3667
214.7267,0.44,208.6133,0.4033,206.0767,0.3833,193.48,0.38,199.6067,0.3933,205.63,0.38,205.1633,0.3533,194.29,0.3233,210.9933,0.4433,256.37,0.4867,202.59,0.3467,189.6267,0.36,199.61,0.37,194.2,0.3833,198.1933,0.38,188.22,0.3667
215.8933,0.4533,209.7267,0.3867,207.1433,0.3967,194.51,0.38,200.7267,0.3767,206.7,0.3633,206.24,0.4033,195.36,0.3133,212.13,0.4133,257.7533,0.4933,203.6933,0.35,190.6433,0.3567,200.67,0.3867,195.2233,0.3833,199.24,0.3733,189.1933,0.3533
217.0233,0.4367,210.8167,0.3667,208.2467,0.3833,195.54,0.3833,201.8267,0.3967,207.82,0.4067,207.34,0.4133,196.3967,0.3233,213.2767,0.4267,259.11,0.4833,204.7767,0.3567,191.6433,0.3367,201.7433,0.38,196.2633,0.3767,200.3033,0.3933,190.1633,0.3567
218.1433,0.4333,211.9233,0.4167,209.3333,0.38,196.5533,0.37,202.9767,0.39,208.95,0.3967,208.42,0.3867,197.4733,0.33,214.4667,0.4233,260.4367,0.4867,205.8633,0.3433,192.6367,0.3633,202.82,0.3933,197.2867,0.3833,201.3867,0.4033,191.18,0.36
219.2533,0.43,213.0167,0.3733,210.4533,0.3933,197.5767,0.37,204.0833,0.3767,210.0633,0.4,209.5033,0.36,198.5367,0.3367,215.6433,0.4067,261.8367,0.51,206.95,0.3433,193.63,0.3567,203.8833,0.39,198.3333,0.3833,202.47,0.3867,192.2,0.3867
220.4033,0.44,214.1,0.3767,211.5367,0.3833,198.61,0.36,205.1767,0.3833,211.15,0.3867,210.5767,0.3767,199.6033,0.34,216.7767,0.4367,263.1867,0.4933,208.0133,0.3333,194.65,0.3433,204.9233,0.3833,199.3733,0.39,203.5533,0.3767,193.1667,0.3467
221.53,0.4333,215.1767,0.3633,212.6267,0.3867,199.61,0.34,206.2667,0.3867,212.23,0.3733,211.6867,0.3767,200.5867,0.3367,217.9167,0.41,264.53,0.4933,209.0767,0.3467,195.64,0.3567,205.99,0.3767,200.42,0.39,204.63,0.3933,194.1533,0.3667
222.64,0.4267,216.2833,0.4067,213.73,0.38,200.63,0.37,207.3433,0.39,213.35,0.4167,212.7433,0.37,201.6,0.33,219.0567,0.4133,265.86,0.4767,210.15,0.3467,196.63,0.37,207.06,0.3867,201.45,0.38,205.6867,0.3867,195.1367,0.36
223.79,0.44,217.38,0.3967,214.83,0.4033,201.6467,0.3433,208.4267,0.39,214.4667,0.3867,213.8433,0.38,202.6233,0.3267,220.17,0.4133,267.24,0.4933,211.2333,0.3433,197.6467,0.37,208.1233,0.3933,202.49,0.38,206.7633,0.3733,196.12,0.3533
224.9033,0.4367,218.4967,0.4,215.9333,0.3933,202.67,0.38,209.49,0.3833,215.5767,0.4067,214.92,0.3667,203.65,0.3167,221.35,0.4367,268.63,0.4967,212.34,0.33,198.6567,0.3533,209.19,0.3867,203.5233,0.38,207.81,0.3733,197.1,0.3567
226.0367,0.43,219.59,0.37,217.0567,0.39,203.67,0.36,210.5667,0.39,216.7033,0.4167,216.03,0.3933,204.75,0.3433,222.53,0.4267,269.9933,0.4933,213.41,0.3433,199.6167,0.35,210.2467,0.38,204.5533,0.39,208.87,0.37,198.09,0.3567
227.17,0.43,220.71,0.4267,218.1667,0.4,204.69,0.36,211.6467,0.3867,217.81,0.4033,217.1033,0.3867,205.8233,0.32,223.69,0.4433,271.3767,0.49,214.5,0.3367,200.6633,0.3767,211.3067,0.39,205.59,0.3767,209.9267,0.3667,199.0867,0.3667
228.3067,0.44,221.77,0.3967,219.2633,0.3967,205.7167,0.3567,212.6933,0.37,218.8967,0.39,218.2167,0.4067,206.9233,0.3367,224.83,0.4233,272.7167,0.49,215.5867,0.3367,201.6867,0.3767,212.3733,0.3767,206.6233,0.3767,210.9767,0.38,200.0433,0.3567
229.43,0.4367,222.87,0.3967,220.3533,0.3833,206.7267,0.3567,213.7267,0.38,220.0033,0.3967,219.3033,0.3767,207.9767,0.3333,225.9833,0.42,274.16,0.5267,216.67,0.3267,202.7133,0.37,213.4567,0.3833,207.6533,0.37,212.04,0.39,201.0267,0.36
230.5767,0.4367,223.9367,0.3833,221.46,0.3767,207.74,0.3533,214.8067,0.38,221.12,0.39,220.44,0.39,209.0267,0.32,227.1167,0.43,275.6133,0.52,217.7733,0.3467,203.7333,0.3567,214.5233,0.39,208.71,0.3867,213.1,0.37,201.99,0.3633
231.75,0.4533,225.0267,0.4133,222.5967,0.41,208.7433,0.36,215.8233,0.3633,222.26,0.4067,221.5267,0.37,210.07,0.3267,228.2533,0.4133,277.0633,0.5267,218.8733,0.3433,204.7,0.3367,215.5767,0.3733,209.75,0.39,214.1567,0.3767,202.9833,0.3567
232.9,0.4567,226.1133,0.3833,223.77,0.4033,209.7967,0.3633,216.8833,0.3933,223.37,0.41,222.6433,0.4067,211.1067,0.3133,229.3733,0.3933,278.43,0.51,219.9733,0.35,205.6767,0.34,216.6267,0.3867,210.7867,0.3833,215.2133,0.38,203.9867,0.3567
